rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_fw_tp,total_pax_fw_lp,total_pax_fw_pc,total_pax_rw_tp,total_pax_rw_lp,total_pax_rw_pc,total_atms_fw_tp,total_atms_fw_lp,total_atms_fw_pc,total_atms_rw_tp,total_atms_rw_lp,total_atms_rw_pc
28/02/2008 17:50,2007,2006,,,London Area Airports,GATWICK,35216239,34163579,3.081234455,0,0,,258921,254414,1.771522045,0,0,1.771522045
28/02/2008 17:50,2007,2006,,,London Area Airports,HEATHROW,68066028,67527923,0.79686296,0,0,,475789,470891,1.040155768,0,0,1.040155768
28/02/2008 17:50,2007,2006,,,London Area Airports,LONDON CITY,2912123,2358184,23.49006653,0,0,,77274,66129,16.85342216,0,0,16.85342216
28/02/2008 17:50,2007,2006,,,London Area Airports,LUTON,9927321,9425908,5.31951952,0,0,,83319,78840,5.681126118,0,0,5.681126118
28/02/2008 17:50,2007,2006,,,London Area Airports,SOUTHEND,49311,30351,62.4691124,0,0,,878,562,56.2277565,0,0,56.2277565
28/02/2008 17:50,2007,2006,,,London Area Airports,STANSTED,23779697,23687148,0.39071399,0,0,,191522,189995,0.803705335,0,0,0.803705335
28/02/2008 17:50,2007,2006,,,Other UK Airports,ABERDEEN,2892868,2674275,8.173915863,519389,489767,6.048182011,63637,60464,5.247750759,39198,37399,5.247750759
28/02/2008 17:50,2007,2006,,,Other UK Airports,BARRA,10415,9808,6.188825607,0,0,,1176,1118,5.187835217,0,0,5.187835217
28/02/2008 17:50,2007,2006,,,Other UK Airports,BELFAST CITY (GEORGE BEST),2186993,2105769,3.857213259,0,0,,39925,36862,8.309370041,0,0,8.309370041
28/02/2008 17:50,2007,2006,,,Other UK Airports,BELFAST INTERNATIONAL,5272664,5038692,4.643506527,0,0,,51805,48212,7.452501297,0,0,7.452501297
28/02/2008 17:50,2007,2006,,,Other UK Airports,BENBECULA,35607,33954,4.86835146,0,0,,2857,2771,3.103572607,0,0,3.103572607
28/02/2008 17:50,2007,2006,,,Other UK Airports,BIGGIN HILL,0,220,,0,0,,0,6,,0,0,
28/02/2008 17:50,2007,2006,,,Other UK Airports,BIRMINGHAM,9226340,9147384,0.863153875,0,0,,104481,108658,-3.844171524,0,0,-3.844171524
28/02/2008 17:50,2007,2006,,,Other UK Airports,BLACKPOOL,540567,535004,1.039805293,17711,17720,-0.050790068,7304,7239,0.897914052,5384,5383,0.897914052
28/02/2008 17:50,2007,2006,,,Other UK Airports,BOURNEMOUTH,1086900,964442,12.69729042,0,0,,12186,11889,2.498107433,0,0,2.498107433
28/02/2008 17:50,2007,2006,,,Other UK Airports,BRISTOL,5926774,5757963,2.931783438,0,0,,58741,65825,-10.76186848,0,0,-10.76186848
28/02/2008 17:50,2007,2006,,,Other UK Airports,CAMBRIDGE,2151,1391,54.63695145,0,0,,69,121,-42.97520828,0,0,-42.97520828
28/02/2008 17:50,2007,2006,,,Other UK Airports,CAMPBELTOWN,9181,9276,-1.024148345,0,0,,972,962,1.039501071,0,0,1.039501071
28/02/2008 17:50,2007,2006,,,Other UK Airports,CARDIFF WALES,2111148,2024428,4.283679008,0,0,,23039,21872,5.335588932,0,0,5.335588932
28/02/2008 17:50,2007,2006,,,Other UK Airports,CITY OF DERRY (EGLINTON),427640,341556,25.20347977,0,0,,5733,4747,20.77101326,0,0,20.77101326
28/02/2008 17:50,2007,2006,,,Other UK Airports,COVENTRY,599149,610618,-1.878261089,0,0,,7496,8177,-8.328237534,0,0,-8.328237534
28/02/2008 17:50,2007,2006,,,Other UK Airports,DONCASTER SHEFFIELD,1078374,948017,13.7504921,0,0,,8754,7694,13.77696896,0,0,13.77696896
28/02/2008 17:50,2007,2006,,,Other UK Airports,DUNDEE,65419,51517,26.98526764,0,0,,3188,2339,36.29756165,0,0,36.29756165
28/02/2008 17:50,2007,2006,,,Other UK Airports,DURHAM TEES VALLEY,746939,920871,-18.8877697,0,0,,11254,12371,-9.02918148,0,0,-9.02918148
28/02/2008 17:50,2007,2006,,,Other UK Airports,EDINBURGH,9047558,8611345,5.065561771,0,0,,115190,115846,-0.56626904,0,0,-0.56626904
28/02/2008 17:50,2007,2006,,,Other UK Airports,EXETER,1024812,982804,4.274301052,0,0,,16825,15252,10.31340122,0,0,10.31340122
